hypothesis_id,predictor,outcome,regime,imbalance_level,n_settings,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_r,spearman_p,mixed_beta,mixed_ci_lo,mixed_ci_hi,decision
H3,kta_gap_r10,recovery_sel5,valbal,all,21,-0.7053464218601089,0.0003549287532307207,-0.871631298391196,-0.3934654294120889,-0.6504275517782968,0.001410946849131666,,,,confirm
H3_strat,kta_gap_r10,recovery_sel5,valbal,mild,14,-0.6828163605553571,0.007118488393833656,-0.8907041228128466,-0.2387236638954307,-0.761426177427768,0.001556729303840913,,,,confirm
H3_strat,kta_gap_r10,recovery_sel5,valbal,extreme,7,0.6198103335643321,0.1376400602050253,-0.2498801217223198,0.9359914434414384,0.5357142857142858,0.21521745567801273,,,,partial
H4,kta_train_r10,LR_loss_vs_random_balanced_sel5,trainbal,all,14,0.9867585379047764,7.564018517217136e-11,0.9574619069910156,0.9959201877194642,0.8533674023353989,0.00010383643839233177,,,,confirm
H4b,kta_gap_r10,LR_loss_vs_random_balanced_sel5,trainbal,all,14,-0.217050309717503,0.45605031817148506,-0.6704223365378528,0.35433531403416835,-0.054945054945054944,0.8520077036323677,,,,partial
H4_strat,kta_train_r10,LR_loss_vs_random_balanced_sel5,trainbal,mild,14,0.9867585379047764,7.564018517217136e-11,0.9574619069910156,0.9959201877194642,0.8533674023353989,0.00010383643839233177,,,,confirm
H5,d_eff_ratio_r10,recovery_sel5,valbal,all,21,0.14228219802913863,0.5383983177374984,-0.30834345056115625,0.540755074172583,0.1638492932822443,0.47789419119566934,,,,reject
