setting_id,method,rank_pct,sel,kl_val_S,kl_S_val,P_S
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,A1,10.0,1,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,A1,10.0,2,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,A1,10.0,3,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,A1,10.0,5,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,A1,10.0,10,6.499466669219283,0.4429459687646067,"[0.4, 0.5, 0.0, 0.1]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,LR,10.0,1,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,LR,10.0,2,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,LR,10.0,3,12.805235546038451,0.7497801927725884,"[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,LR,10.0,5,12.88736156278146,0.8858919375292134,"[0.2, 0.8, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,LR,10.0,10,6.52580679813374,0.4883486362368663,"[0.3, 0.6, 0.0, 0.1]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,FreeShap,,1,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,FreeShap,,2,19.33697147582652,1.3862943610411562,"[0.0, 1.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,FreeShap,,3,12.805235546038451,0.7497801927725884,"[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,FreeShap,,5,12.88736156278146,0.8858919375292134,"[0.2, 0.8, 0.0, 0.0]"
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,FreeShap,,10,6.499466669219283,0.4429459687646067,"[0.4, 0.5, 0.0, 0.1]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,A1,10.0,1,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,A1,10.0,2,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,A1,10.0,3,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,A1,10.0,5,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,A1,10.0,10,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,LR,10.0,1,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,LR,10.0,2,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,LR,10.0,3,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,LR,10.0,5,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,LR,10.0,10,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,FreeShap,,1,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,FreeShap,,2,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,FreeShap,,3,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,FreeShap,,5,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,FreeShap,,10,11.251445158553608,0.5978370006784188,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,A1,10.0,1,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,A1,10.0,2,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,A1,10.0,3,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,A1,10.0,5,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,A1,10.0,10,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,LR,10.0,1,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,LR,10.0,2,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,LR,10.0,3,3.557152236283075,0.16251892942386906,"[1.0, 0.0, 0.0, 0.0]"
